event_id,event_type,sub_event_type,venue_city,venue_capacity,event_date,season,ticket_price,avg_past_attendance,weather,death_count,actual_attend
33554,Traditional Events,Dussehra,Bengaluru,27576,2023-09-26,Rainy,2067.0,21179.0,Windy,1,21251.0
9428,Sports,Tennis,Delhi,35574,2023-01-23,Rainy,3396.0,32830.0,Sunny,0,27473.0
200,Sports,Basketball,Bengaluru,35382,2024-02-28,Winter,1845.0,,Cloudy,4,14549.0
12448,Sports,Cricket,Chennai,35605,2024-04-08,Autumn,4709.0,32300.0,Sunny,6,33270.0
39490,Concert,Rally,,29019,2024-09-24,Summer,1572.0,8892.0,Cloudy,4,9161.0
42725,Concert,Classical,Bengaluru,37004,2024-10-26,Rainy,1663.0,21384.0,Sunny,0,23599.0
10823,Sports,Badminton,Delhi,29312,2022-03-14,Rainy,1036.0,15765.0,Sunny,0,15274.0
49499,Fashion Show,Women,Mumbai,30920,2024-11-10,Summer,3149.0,18497.0,Stormy,1,19041.0
4145,Sports,Cricket,,25796,2023-07-02,Winter,2572.0,24152.0,Windy,3,21743.0
36959,Traditional Events,Dussehra,Delhi,39064,2023-08-20,Rainy,3079.0,35576.0,Cloudy,2,34747.0
43107,Concert,Classical,Delhi,35011,2023-06-21,Summer,2245.0,25749.0,Windy,1,23193.0
38696,Traditional Events,Vinayaka Chavithi,Hyderabad,19307,2024-07-09,Rainy,2682.0,13844.0,Sunny,0,10207.0
6189,Sports,Football,Vijayawada,32023,2023-09-11,Summer,2965.0,22358.0,Cloudy,2,18814.0
1415,Sports,Tennis,Mumbai,43560,2022-10-11,Autumn,3031.0,34449.0,Cloudy,1,32714.0
18472,Prerelease,WebSeries,,24313,2022-03-31,Rainy,2773.0,22415.0,Sunny,0,16940.0
29283,Political,Rally,Bengaluru,22143,2023-09-17,Summer,3627.0,9183.0,Rainy,0,8527.0
15178,Prerelease,WebSeries,Vijayawada,15976,2023-06-03,Summer,1750.0,9050.0,Rainy,2,6917.0
34305,Traditional Events,Vinayaka Chavithi,Hyderabad,56485,2022-11-01,Rainy,2813.0,28224.0,Rainy,1,28489.0
12610,Prerelease,WebSeries,,25566,2023-12-02,Summer,2135.0,22791.0,Cloudy,3,22524.0
12145,Sports,Vinayaka Chavithi,Delhi,55434,2023-10-19,Rainy,3704.0,24865.0,Sunny,0,19850.0
6114,Sports,Basketball,Hyderabad,19123,2022-09-25,Winter,1332.0,6072.0,Rainy,2,4462.0
15909,Prerelease,Cricket,Delhi,31926,2022-09-04,Rainy,3336.0,14393.0,Cloudy,1,10478.0
822,Sports,Badminton,,17299,2024-03-16,Summer,2713.0,7488.0,Cloudy,2,7412.0
15119,Prerelease,Movie,Bengaluru,59513,2024-05-13,Rainy,3115.0,49337.0,Cloudy,2,38086.0
13467,Prerelease,Movie,Chennai,16689,2022-05-15,Rainy,1324.0,5742.0,Sunny,2,4094.0
26498,Political,Debate,Mumbai,36368,2022-07-25,Rainy,2169.0,23279.0,Sunny,2,21091.0
42112,Concert,Rock,Hyderabad,61384,2023-03-27,Winter,1212.0,22520.0,Sunny,1,23916.0
30189,Political,Debate,,29740,2024-11-27,Winter,2199.0,22638.0,Stormy,1,18359.0
37238,Traditional Events,Vinayaka Chavithi,Hyderabad,33343,2022-06-09,Summer,4209.0,22716.0,Rainy,0,21664.0
33110,Traditional Events,Dussehra,Hyderabad,23255,2022-06-30,Rainy,1872.0,15767.0,Windy,1,12032.0
36481,Traditional Events,Dussehra,Bengaluru,11014,2022-03-11,Rainy,2317.0,6992.0,Cloudy,1,6016.0
24149,Political,Rally,,39024,2022-01-23,Winter,1717.0,16455.0,Rainy,2,11837.0
5504,Sports,Basketball,Mumbai,30851,2022-12-22,Summer,2317.0,17246.0,Sunny,2,17412.0
3919,Sports,Football,Hyderabad,19709,2023-10-03,Summer,1967.0,15437.0,Stormy,0,14930.0
38479,Traditional Events,Dussehra,Delhi,23154,2024-05-07,Rainy,2119.0,19108.0,Sunny,1,15119.0
21124,Prerelease,WebSeries,,18066,2024-12-06,Winter,2265.0,5799.0,Cloudy,0,4589.0
49718,Fashion Show,Men,Delhi,60406,2022-08-18,Winter,1664.0,25329.0,Sunny,0,19428.0
42295,Concert,Rock,Hyderabad,23727,2023-10-27,Summer,,17483.0,Sunny,2,17823.0
47610,Fashion Show,Women,,54282,2022-01-13,Summer,2262.0,16955.0,Sunny,1,18419.0
11077,Sports,Basketball,Mumbai,50220,2023-06-07,Rainy,3292.0,34493.0,Cloudy,1,34945.0
41515,Concert,Classical,Delhi,38508,2022-05-14,Rainy,2090.0,18881.0,Sunny,0,21394.0
22063,Prerelease,Movie,,23421,2023-06-15,Winter,3432.0,16979.0,Sunny,2,17926.0
9414,Sports,Movie,Hyderabad,29808,2023-01-05,Rainy,891.0,19080.0,Cloudy,0,15270.0
38341,Traditional Events,WebSeries,Bengaluru,46913,2023-12-18,Winter,1323.0,37968.0,Rainy,3,33682.0
30264,Political,Rally,Hyderabad,28870,2024-11-06,Rainy,3624.0,23225.0,Rainy,0,21074.0
41253,Concert,Rock,Hyderabad,19875,2023-01-23,Winter,3481.0,15563.0,Rainy,1,13835.0
14645,Prerelease,Dussehra,Bengaluru,36496,2024-10-31,Rainy,2995.0,25259.0,Windy,0,21900.0
26336,Political,Rally,Delhi,30363,2023-11-29,Summer,2181.0,22325.0,Rainy,1,22207.0
28103,Political,Rally,Hyderabad,45744,2024-10-12,Summer,1845.0,25409.0,Rainy,2,27954.0
17524,Prerelease,Movie,Vijayawada,19991,2022-07-28,Winter,1778.0,9094.0,Sunny,4,9774.0
24713,Political,Rally,,31141,2024-01-01,Winter,1698.0,24878.0,Sunny,2,27110.0
40486,Concert,Rock,Vijayawada,18138,2022-11-08,Winter,2693.0,13260.0,Sunny,0,13724.0
3851,Sports,Rally,Hyderabad,17210,2023-03-24,Winter,3035.0,5460.0,Rainy,0,5600.0
40041,Concert,Classical,Vijayawada,26625,2022-01-18,Winter,1551.0,21824.0,Sunny,1,21649.0
15268,Prerelease,WebSeries,Hyderabad,40860,2023-05-19,Winter,2905.0,31709.0,Rainy,0,24704.0
49147,Fashion Show,Women,Bengaluru,49019,2022-06-08,Summer,1761.0,23385.0,Stormy,0,21705.0
30002,Political,Rally,Delhi,43998,2024-10-21,Rainy,2245.0,30126.0,Cloudy,0,23314.0
45927,Fashion Show,Women,Chennai,28247,2023-11-22,Summer,2614.0,16424.0,Rainy,2,11700.0
43825,Concert,Rock,Vijayawada,55883,2022-07-28,Summer,1697.0,48395.0,Cloudy,0,55177.0
17241,Prerelease,WebSeries,Hyderabad,27652,2024-11-08,Autumn,899.0,24811.0,Cloudy,4,26158.0
4893,Sports,Football,,39875,2024-04-15,Summer,2658.0,29688.0,Windy,1,27768.0
726,Sports,Tennis,Mumbai,12118,2024-06-27,Autumn,2879.0,4109.0,Windy,3,3639.0
22950,Political,Rally,Chennai,34053,2023-07-19,Winter,2369.0,13473.0,Cloudy,4,9489.0
34658,Traditional Events,Dussehra,Hyderabad,9722,2024-05-06,Winter,3558.0,5509.0,Sunny,1,5336.0
37214,Traditional Events,Dussehra,Chennai,16171,2022-09-02,Rainy,1803.0,13701.0,Sunny,2,10057.0
20305,Prerelease,Movie,Chennai,36176,2022-07-27,Summer,2024.0,13733.0,Rainy,0,13984.0
15270,Prerelease,WebSeries,Vijayawada,25625,2023-11-28,Winter,3008.0,22244.0,Windy,0,20526.0
22368,Prerelease,WebSeries,,28482,2022-05-16,Winter,4273.0,18951.0,Windy,0,18575.0
42685,Concert,Classical,Bengaluru,26164,2022-07-30,Winter,3061.0,8438.0,Rainy,0,9129.0
46735,Fashion Show,Women,,19932,2024-07-16,Rainy,2184.0,18405.0,Windy,0,17055.0
11733,Sports,Basketball,Hyderabad,41143,2022-07-30,Rainy,2717.0,32025.0,Cloudy,4,29458.0
18620,Prerelease,WebSeries,Bengaluru,37491,2022-03-19,Rainy,1967.0,29487.0,Sunny,0,28318.0
48493,Fashion Show,Men,Chennai,18273,2023-07-14,Winter,1739.0,14607.0,Cloudy,0,11120.0
26804,Political,Cricket,Bengaluru,26229,2023-11-15,Summer,2179.0,24733.0,Sunny,0,24660.0
44306,Concert,Classical,,24088,2024-07-26,Summer,2054.0,15491.0,Cloudy,0,14160.0
47523,Fashion Show,Men,Bengaluru,45465,2022-12-30,Summer,1779.0,30196.0,Cloudy,0,22429.0
32208,Traditional Events,Movie,Delhi,42983,2023-02-12,Summer,1350.0,26373.0,Sunny,3,28366.0
